district,season,crop,soil,area,rainfall,temperature,yield
Villupuram,Rabi,Banana,Black,3.73,139.0,41.6,2.87
Thanjavur,Kharif,Sugarcane,Clay,7.69,90.7,38.4,4.45
Coimbatore,Summer,Sesame,Loamy,3.94,58.3,37.4,0.15
Thanjavur,Rabi,Millets,Alluvial,7.63,44.9,36.2,1.43
Thoothukudi,Rabi,Chilli,Clay,7.6,103.1,22.5,3.06
Thanjavur,Rabi,Groundnut,Alluvial,7.16,68.8,33.4,1.67
Tiruppur,Summer,Rice,Loamy,8.47,74.5,42.0,2.08
Thoothukudi,Rabi,Ragi,Black,10.23,37.3,24.4,2.41
Cuddalore,Rabi,Chilli,Clay,11.47,134.0,19.6,2.39
Trichy,Summer,Maize,Clay,10.39,18.7,20.4,2.58
Tiruppur,Summer,Sesame,Red,8.39,66.4,30.4,0.73
Namakkal,Rabi,Sugarcane,Alluvial,7.25,83.7,34.1,4.23
Madurai,Summer,Maize,Loamy,1.13,74.3,21.8,3.26
Thoothukudi,Summer,Sugarcane,Alluvial,5.82,91.4,40.3,3.82
Trichy,Rabi,Green Gram,Clay,7.86,37.2,27.2,0.82
Dindigul,Rabi,Sesame,Black,6.29,118.4,28.5,1.1
Kancheepuram,Rabi,Banana,Alluvial,1.72,40.7,23.4,4.02
Cuddalore,Summer,Sugarcane,Black,6.08,89.9,38.7,5.12
Thanjavur,Rabi,Sugarcane,Clay,5.53,147.0,29.5,6.29
Vellore,Rabi,Banana,Black,4.44,53.2,38.7,2.27
Thanjavur,Rabi,Soybean,Clay,7.55,94.2,29.5,1.29
Namakkal,Rabi,Sesame,Black,8.68,73.8,26.7,1.16
Madurai,Rabi,Chilli,Red,4.82,159.0,26.9,2.8
Cuddalore,Rabi,Coconut,Clay,8.34,27.6,34.9,2.14
Kancheepuram,Summer,Sugarcane,Alluvial,10.3,66.6,26.1,5.13
Namakkal,Summer,Turmeric,Red,9.48,106.7,39.9,2.16
Kancheepuram,Rabi,Cotton,Alluvial,1.77,21.2,40.3,1.34
Erode,Rabi,Sugarcane,Clay,2.61,148.4,25.9,5.08
Thanjavur,Kharif,Millets,Red,4.05,312.5,23.3,0.61
Tiruppur,Kharif,Groundnut,Black,6.67,103.5,35.8,1.07
Dindigul,Rabi,Rice,Loamy,4.83,153.9,29.0,4.31
Villupuram,Summer,Chilli,Red,6.37,23.4,37.4,1.63
Villupuram,Summer,Chilli,Clay,7.36,96.8,40.1,1.54
Thanjavur,Rabi,Soybean,Alluvial,7.18,64.0,28.3,1.44
Trichy,Summer,Sugarcane,Loamy,4.72,107.8,31.6,4.07
Tiruppur,Kharif,Maize,Alluvial,5.33,264.3,30.0,2.72
Dindigul,Kharif,Black Gram,Black,0.94,113.9,38.4,1.06
Namakkal,Kharif,Banana,Black,11.06,300.9,22.5,3.57
Thoothukudi,Kharif,Green Gram,Clay,9.12,306.5,28.2,0.6
Kancheepuram,Summer,Sesame,Red,2.56,30.5,20.7,0.46
Thanjavur,Summer,Cotton,Black,6.3,73.1,36.8,1.18
Kancheepuram,Kharif,Millets,Alluvial,9.56,217.1,24.0,0.99
Cuddalore,Summer,Cotton,Loamy,6.84,98.2,27.7,2.09
Cuddalore,Rabi,Cotton,Red,11.15,84.2,27.0,2.18
Villupuram,Kharif,Sunflower,Loamy,8.3,212.3,24.8,0.86
Vellore,Kharif,Turmeric,Clay,11.35,305.6,31.3,3.92
Cuddalore,Summer,Turmeric,Red,0.6,100.7,21.5,4.28
Kancheepuram,Kharif,Millets,Loamy,8.77,255.2,33.5,1.09
Vellore,Kharif,Rice,Loamy,0.81,249.1,40.6,2.11
Kancheepuram,Rabi,Turmeric,Alluvial,4.91,150.0,38.6,2.42
Coimbatore,Kharif,Sesame,Clay,0.6,207.8,39.0,0.36
Namakkal,Rabi,Coconut,Loamy,3.14,82.9,24.6,2.94
Madurai,Rabi,Millets,Alluvial,10.34,38.4,23.6,1.31
Vellore,Kharif,Cotton,Alluvial,4.01,137.3,40.3,0.91
Kancheepuram,Rabi,Green Gram,Red,5.01,156.7,24.3,1.14
Vellore,Rabi,Coconut,Black,5.34,54.8,41.4,2.08
Tirunelveli,Rabi,Sesame,Loamy,8.53,145.4,35.1,0.55
Villupuram,Rabi,Sesame,Loamy,10.97,99.8,35.4,0.56
Coimbatore,Rabi,Sesame,Clay,8.28,113.5,37.4,0.26
Tirunelveli,Summer,Banana,Red,1.11,76.7,28.8,3.85
Erode,Summer,Sunflower,Alluvial,1.59,84.5,25.6,1.81
Namakkal,Summer,Cotton,Red,4.99,40.8,19.3,1.32
Namakkal,Summer,Groundnut,Clay,2.49,84.7,38.1,1.5
Villupuram,Rabi,Maize,Red,0.75,102.1,40.0,2.24
Namakkal,Rabi,Groundnut,Alluvial,4.62,115.6,26.5,2.49
Tiruppur,Kharif,Sesame,Alluvial,3.67,154.6,37.2,0.33
Kancheepuram,Summer,Coconut,Loamy,9.37,41.2,27.5,3.88
Coimbatore,Summer,Banana,Black,7.02,98.4,24.1,5.36
Vellore,Rabi,Ragi,Clay,3.93,21.2,36.3,1.31
Villupuram,Summer,Coconut,Red,3.2,78.4,36.0,3.0
Thanjavur,Kharif,Ragi,Red,6.08,142.0,38.6,1.86
Coimbatore,Kharif,Coconut,Loamy,3.39,251.2,39.2,2.48
Salem,Summer,Groundnut,Red,4.26,60.7,24.6,2.29
Salem,Kharif,Sesame,Alluvial,5.13,178.2,19.5,0.36
Thanjavur,Summer,Green Gram,Red,1.81,93.6,39.6,0.8
Namakkal,Summer,Maize,Alluvial,2.67,61.7,23.8,3.52
Trichy,Summer,Rice,Loamy,7.56,74.3,18.6,2.87
Thanjavur,Summer,Sesame,Alluvial,4.02,60.7,28.5,0.51
Tirunelveli,Kharif,Soybean,Alluvial,10.35,151.2,31.5,1.28
Villupuram,Summer,Rice,Loamy,7.5,25.3,36.3,1.84
Villupuram,Summer,Cotton,Red,2.19,97.6,35.9,1.5
Thanjavur,Kharif,Chilli,Red,7.11,123.9,36.3,2.27
Villupuram,Summer,Cotton,Black,8.83,14.4,30.3,1.43
Villupuram,Rabi,Black Gram,Clay,7.5,61.6,41.2,0.68
Thoothukudi,Kharif,Millets,Red,7.38,225.8,27.6,1.76
Erode,Kharif,Soybean,Clay,9.89,65.9,27.8,1.96
Thoothukudi,Summer,Black Gram,Black,7.86,58.3,34.2,1.09
Villupuram,Summer,Turmeric,Black,7.5,11.6,32.9,3.13
Tiruppur,Kharif,Sugarcane,Black,11.36,156.0,40.8,5.26
Tirunelveli,Rabi,Rice,Black,3.57,130.2,20.6,3.85
Thanjavur,Kharif,Green Gram,Alluvial,2.18,186.6,36.0,0.5
Dindigul,Summer,Sugarcane,Clay,4.27,74.5,19.5,3.69
Thanjavur,Summer,Sesame,Alluvial,1.74,82.9,41.8,0.15
Erode,Kharif,Soybean,Black,9.42,313.6,32.2,1.06
Cuddalore,Kharif,Turmeric,Black,11.83,235.3,28.3,4.61
Erode,Kharif,Groundnut,Clay,5.82,174.4,29.2,1.3
Vellore,Rabi,Black Gram,Black,10.52,154.6,37.5,1.03
Tirunelveli,Kharif,Millets,Black,6.87,169.1,22.5,1.38
Vellore,Kharif,Millets,Red,7.26,140.9,36.3,1.63
Vellore,Rabi,Maize,Alluvial,5.77,124.7,31.9,3.3
Thoothukudi,Summer,Sunflower,Clay,9.11,109.4,33.1,0.49
Dindigul,Rabi,Chilli,Red,11.03,74.3,36.3,2.86
Vellore,Summer,Millets,Alluvial,9.37,58.6,32.7,1.14
Erode,Kharif,Ragi,Loamy,4.23,63.5,33.8,1.9
Tirunelveli,Rabi,Cotton,Alluvial,5.43,45.5,37.5,0.97
Dindigul,Summer,Sesame,Loamy,9.78,19.1,34.2,0.19
Trichy,Kharif,Sugarcane,Alluvial,11.97,234.2,21.2,4.71
Madurai,Summer,Sugarcane,Loamy,10.43,21.8,23.1,3.38
Vellore,Kharif,Ragi,Loamy,9.03,279.1,19.2,1.73
Erode,Kharif,Maize,Alluvial,3.5,87.2,26.2,3.8
Madurai,Kharif,Sugarcane,Loamy,11.35,82.0,25.6,4.73
Tiruppur,Kharif,Coconut,Alluvial,0.72,239.1,28.5,4.56
Tiruppur,Summer,Groundnut,Black,1.46,50.3,38.1,0.22
Villupuram,Rabi,Chilli,Clay,3.91,37.9,35.9,1.97
Thanjavur,Kharif,Cotton,Red,1.11,69.3,24.4,2.25
Tiruppur,Summer,Ragi,Loamy,8.88,16.3,29.4,1.47
Vellore,Kharif,Soybean,Black,2.91,308.4,22.4,1.31
Thoothukudi,Rabi,Turmeric,Alluvial,10.03,63.8,34.4,2.3
Madurai,Rabi,Cotton,Loamy,3.89,157.9,33.0,1.14
Madurai,Summer,Millets,Loamy,11.79,27.3,40.0,0.87
Salem,Summer,Maize,Loamy,11.18,73.4,33.2,2.98
Coimbatore,Summer,Millets,Red,1.76,105.0,33.4,1.04
Kancheepuram,Summer,Ragi,Clay,8.82,31.9,31.8,1.04
Dindigul,Rabi,Chilli,Alluvial,9.86,36.8,25.1,3.04
Thoothukudi,Summer,Sunflower,Red,6.39,20.5,27.7,0.84
Salem,Summer,Sunflower,Alluvial,0.74,57.0,39.8,0.96
Kancheepuram,Rabi,Rice,Loamy,1.4,141.9,35.9,3.71
Madurai,Summer,Banana,Loamy,11.13,34.4,27.1,4.85
Dindigul,Kharif,Ragi,Loamy,8.79,214.0,23.1,1.61
Coimbatore,Kharif,Green Gram,Red,8.16,291.3,31.0,0.9
Thoothukudi,Rabi,Coconut,Black,10.66,138.7,40.9,2.32
Trichy,Rabi,Rice,Black,5.73,67.3,39.1,2.41
Kancheepuram,Kharif,Rice,Black,8.08,247.4,32.5,4.07
Namakkal,Rabi,Turmeric,Loamy,7.12,64.7,26.0,3.76
Tirunelveli,Kharif,Coconut,Red,9.85,134.8,41.3,2.83
Salem,Kharif,Maize,Black,1.49,173.0,28.9,2.59
Madurai,Summer,Maize,Red,9.54,25.9,31.0,3.26
Tiruppur,Kharif,Sugarcane,Loamy,8.26,231.6,34.4,5.54
Tiruppur,Kharif,Sugarcane,Loamy,5.95,180.3,18.3,3.86
Salem,Rabi,Chilli,Black,1.02,107.1,37.4,1.54
Dindigul,Rabi,Sunflower,Clay,5.61,55.1,35.3,1.03
Madurai,Summer,Sesame,Alluvial,10.88,26.1,32.4,0.4
Dindigul,Summer,Sugarcane,Clay,4.24,83.2,35.6,4.1
Namakkal,Summer,Sunflower,Red,2.7,108.5,30.5,0.99
Thoothukudi,Rabi,Sesame,Black,7.24,63.5,39.1,0.97
Madurai,Rabi,Cotton,Clay,0.86,100.9,34.7,1.58
Vellore,Rabi,Millets,Clay,4.7,67.9,22.3,1.6
Coimbatore,Summer,Rice,Alluvial,6.62,69.7,22.0,2.76
Tirunelveli,Rabi,Soybean,Loamy,4.88,153.7,28.1,1.62
Cuddalore,Kharif,Banana,Black,5.84,99.8,20.4,3.72
Dindigul,Kharif,Rice,Black,11.19,252.5,30.4,3.5
Namakkal,Kharif,Millets,Loamy,7.3,96.8,40.5,1.05
Villupuram,Rabi,Chilli,Red,11.57,70.6,22.7,2.95
Vellore,Rabi,Ragi,Loamy,3.87,85.4,19.9,2.38
Salem,Rabi,Maize,Black,5.29,120.8,24.5,2.77
Kancheepuram,Kharif,Chilli,Black,4.79,140.7,37.6,1.92
Villupuram,Rabi,Sugarcane,Clay,5.79,24.6,31.4,4.74
Salem,Rabi,Sunflower,Loamy,7.96,62.0,40.6,1.48
Vellore,Rabi,Black Gram,Red,9.69,138.9,25.4,1.1
Kancheepuram,Summer,Rice,Black,4.67,38.9,27.3,4.04
Thoothukudi,Kharif,Sunflower,Red,10.83,190.7,37.0,0.93
Tirunelveli,Rabi,Sugarcane,Alluvial,10.88,56.9,37.9,3.41
Coimbatore,Summer,Cotton,Clay,5.42,12.1,41.4,0.65
Tiruppur,Kharif,Groundnut,Alluvial,8.82,216.2,29.6,0.7
Coimbatore,Kharif,Ragi,Loamy,6.54,141.1,24.2,1.74
Salem,Kharif,Sunflower,Clay,4.86,196.0,20.9,1.27
Madurai,Rabi,Turmeric,Loamy,3.81,71.5,20.9,4.5
Vellore,Rabi,Rice,Loamy,7.36,106.6,36.6,2.55
Trichy,Rabi,Ragi,Black,4.97,20.6,40.3,1.28
Trichy,Summer,Green Gram,Black,2.16,35.0,24.8,0.67
Tiruppur,Summer,Groundnut,Black,8.36,19.8,31.9,1.26
Tirunelveli,Kharif,Maize,Alluvial,9.39,292.5,34.2,2.09
Villupuram,Rabi,Green Gram,Alluvial,11.93,144.4,31.2,0.88
Coimbatore,Summer,Groundnut,Alluvial,4.66,75.9,36.8,0.98
Thanjavur,Kharif,Rice,Black,2.69,176.6,28.1,3.95
Thoothukudi,Summer,Soybean,Red,7.65,57.7,37.5,0.81
Tirunelveli,Kharif,Soybean,Loamy,4.53,299.6,21.7,1.38
Thanjavur,Kharif,Groundnut,Clay,10.12,130.3,32.1,1.79
Trichy,Summer,Groundnut,Red,3.97,55.9,20.4,1.8
Tirunelveli,Summer,Groundnut,Clay,10.3,67.3,30.5,1.53
Madurai,Kharif,Maize,Clay,8.74,69.9,19.8,2.64
Thanjavur,Summer,Soybean,Clay,6.27,46.0,38.1,0.48
Dindigul,Summer,Groundnut,Red,4.39,46.6,23.7,1.87
Erode,Rabi,Soybean,Red,1.54,106.5,22.8,1.96
Namakkal,Kharif,Groundnut,Clay,10.57,64.1,41.1,0.65
Coimbatore,Summer,Rice,Clay,5.99,104.3,25.2,3.22
Salem,Rabi,Green Gram,Loamy,9.95,26.3,40.6,0.81
Kancheepuram,Kharif,Soybean,Black,7.76,86.2,32.7,1.65
Villupuram,Kharif,Millets,Red,7.85,182.8,23.7,0.93
Salem,Rabi,Groundnut,Red,11.92,121.9,40.8,1.77
Thanjavur,Rabi,Banana,Clay,3.67,118.9,28.9,3.9
Kancheepuram,Summer,Millets,Red,4.95,101.2,37.1,0.85
Namakkal,Summer,Coconut,Red,4.89,61.7,35.0,2.91
Thanjavur,Summer,Ragi,Red,7.74,48.2,25.4,1.67
Trichy,Summer,Rice,Loamy,2.07,42.1,40.7,2.22
Tirunelveli,Kharif,Sesame,Black,8.61,107.2,36.6,1.04
Trichy,Kharif,Banana,Clay,1.05,79.8,37.3,3.92
Cuddalore,Kharif,Banana,Loamy,2.06,188.5,41.9,4.04
Kancheepuram,Rabi,Rice,Loamy,2.23,28.7,20.5,3.32
Erode,Summer,Sesame,Clay,5.34,104.9,32.2,0.34
Cuddalore,Summer,Sugarcane,Alluvial,0.76,85.8,33.3,5.6
Thanjavur,Kharif,Soybean,Alluvial,10.44,80.4,39.0,1.59
Coimbatore,Summer,Sugarcane,Alluvial,7.0,77.8,31.3,6.92
Thoothukudi,Rabi,Turmeric,Clay,2.56,152.3,35.8,2.69
Trichy,Summer,Green Gram,Loamy,11.05,109.8,34.2,1.05
Thoothukudi,Rabi,Cotton,Alluvial,2.18,131.7,24.6,1.32
Tiruppur,Kharif,Maize,Black,3.67,97.4,32.6,2.82
Namakkal,Rabi,Soybean,Clay,7.3,138.6,41.7,0.7
Cuddalore,Rabi,Groundnut,Black,10.06,140.3,36.8,1.07
Tirunelveli,Rabi,Sugarcane,Black,1.74,53.4,26.2,5.42
Tiruppur,Summer,Soybean,Loamy,11.19,94.7,29.8,1.01
Salem,Kharif,Turmeric,Alluvial,10.83,279.7,39.8,2.84
Tirunelveli,Kharif,Chilli,Red,6.17,188.7,25.6,2.93
Salem,Rabi,Coconut,Clay,10.29,26.4,41.0,1.85
Tiruppur,Kharif,Sesame,Clay,4.9,206.1,25.9,0.7
Coimbatore,Rabi,Cotton,Alluvial,8.51,83.6,38.4,0.99
Tirunelveli,Kharif,Cotton,Red,5.75,241.6,35.4,1.18
Erode,Kharif,Cotton,Loamy,7.74,283.1,27.5,1.03
Tiruppur,Kharif,Rice,Clay,6.84,159.7,40.1,3.1
Vellore,Rabi,Groundnut,Black,8.92,54.8,32.4,1.29
Vellore,Kharif,Groundnut,Loamy,7.39,163.5,19.9,2.06
Thanjavur,Summer,Coconut,Loamy,6.52,66.1,32.5,2.83
Trichy,Rabi,Green Gram,Alluvial,10.25,56.1,33.6,0.75
Tiruppur,Rabi,Maize,Loamy,0.53,128.4,35.6,2.63
Tirunelveli,Kharif,Green Gram,Black,9.43,172.0,24.3,0.71
Madurai,Rabi,Rice,Black,4.48,151.7,39.5,2.73
Thoothukudi,Summer,Maize,Loamy,1.92,99.2,29.0,3.58
Namakkal,Rabi,Ragi,Clay,8.7,54.3,34.0,1.94
Trichy,Kharif,Chilli,Black,11.55,120.0,18.9,2.26
Tirunelveli,Rabi,Ragi,Alluvial,1.62,56.5,31.6,2.23
Villupuram,Rabi,Sunflower,Clay,5.61,55.4,26.2,1.16
Namakkal,Rabi,Maize,Loamy,7.91,58.0,28.7,2.9
Thanjavur,Summer,Coconut,Loamy,4.94,53.4,20.8,2.45
Villupuram,Rabi,Millets,Red,9.66,72.2,26.6,1.45
Dindigul,Kharif,Banana,Loamy,5.61,190.5,29.1,4.32
Villupuram,Summer,Rice,Red,9.99,12.8,19.1,2.26
Coimbatore,Summer,Rice,Red,8.58,18.3,38.3,1.41
Salem,Rabi,Sugarcane,Clay,8.92,93.3,36.6,4.23
Madurai,Rabi,Sugarcane,Clay,8.3,28.2,41.1,4.51
Tiruppur,Summer,Soybean,Alluvial,10.35,71.9,35.8,0.64
Tiruppur,Kharif,Ragi,Alluvial,10.15,194.9,33.1,0.72
Cuddalore,Summer,Sesame,Alluvial,1.1,72.3,38.2,0.24
Trichy,Summer,Groundnut,Clay,2.01,84.1,24.5,2.27
Tiruppur,Kharif,Sunflower,Clay,9.95,173.2,32.9,0.78
Coimbatore,Rabi,Sesame,Alluvial,11.4,56.2,36.7,0.37
Cuddalore,Summer,Soybean,Alluvial,2.38,108.5,25.6,2.05
Tirunelveli,Summer,Soybean,Loamy,11.67,86.0,33.6,1.19
Cuddalore,Kharif,Soybean,Black,5.02,225.7,20.3,1.59
Madurai,Rabi,Sugarcane,Alluvial,6.87,25.9,37.8,4.3
Namakkal,Kharif,Green Gram,Black,0.51,104.3,25.0,0.67
Tiruppur,Summer,Chilli,Black,7.13,21.0,36.6,1.06
Kancheepuram,Summer,Black Gram,Alluvial,11.73,12.5,26.2,0.95
Thanjavur,Summer,Cotton,Clay,6.29,90.6,34.0,1.28
Tirunelveli,Summer,Banana,Clay,5.18,44.2,40.6,2.33
Kancheepuram,Summer,Cotton,Loamy,10.33,21.7,26.2,1.62
Thanjavur,Kharif,Black Gram,Loamy,3.76,230.6,28.8,0.44
Namakkal,Rabi,Soybean,Red,1.25,134.7,23.5,1.93
Kancheepuram,Kharif,Sesame,Alluvial,7.84,98.6,39.4,0.38
Dindigul,Rabi,Coconut,Clay,0.84,52.0,36.0,1.41
Villupuram,Rabi,Banana,Loamy,2.38,112.2,26.9,4.79
Tiruppur,Summer,Chilli,Loamy,0.64,49.2,21.8,2.66
Tirunelveli,Summer,Green Gram,Loamy,11.98,53.1,22.0,1.0
Namakkal,Rabi,Chilli,Red,11.66,73.5,34.6,2.73
Tirunelveli,Summer,Sugarcane,Clay,5.96,34.6,24.7,4.57
Thoothukudi,Kharif,Soybean,Clay,4.69,197.6,20.4,1.53
Villupuram,Kharif,Sunflower,Clay,9.69,260.0,30.8,0.78
Kancheepuram,Kharif,Black Gram,Alluvial,11.93,205.2,30.3,1.1
Thanjavur,Rabi,Chilli,Clay,3.5,120.6,32.9,1.65
Vellore,Rabi,Turmeric,Alluvial,4.38,159.8,22.2,4.48
Vellore,Summer,Soybean,Black,5.96,67.2,34.1,1.42
Vellore,Rabi,Maize,Loamy,9.73,82.4,19.1,2.86
Tirunelveli,Kharif,Black Gram,Black,8.51,94.6,37.0,1.28
Erode,Rabi,Groundnut,Red,8.1,100.0,19.9,2.42
Tiruppur,Kharif,Turmeric,Clay,1.18,239.7,36.6,2.86
Coimbatore,Summer,Green Gram,Loamy,7.58,17.7,37.8,1.09
Vellore,Rabi,Green Gram,Red,0.9,125.9,26.2,1.05
Villupuram,Rabi,Soybean,Red,3.52,122.8,20.2,1.85
Kancheepuram,Rabi,Millets,Loamy,11.45,39.8,23.7,1.23
Dindigul,Kharif,Ragi,Alluvial,1.1,157.1,28.5,1.61
Vellore,Rabi,Turmeric,Black,2.27,140.5,37.5,2.39
Kancheepuram,Summer,Sunflower,Loamy,10.2,71.6,19.5,1.1
Salem,Rabi,Banana,Clay,8.75,150.5,29.0,4.03
Tirunelveli,Summer,Cotton,Black,1.77,38.5,21.2,1.57
Villupuram,Rabi,Maize,Alluvial,6.56,93.5,34.7,3.57
Thoothukudi,Kharif,Chilli,Loamy,5.41,61.9,30.9,3.06
Madurai,Kharif,Turmeric,Alluvial,5.71,237.0,40.7,2.32
Madurai,Summer,Soybean,Black,4.41,77.5,31.7,1.64
Trichy,Kharif,Turmeric,Red,4.35,265.0,32.1,4.41
Thanjavur,Summer,Turmeric,Red,9.24,34.4,33.0,2.98
Tirunelveli,Rabi,Coconut,Clay,7.25,145.3,37.1,2.29
Kancheepuram,Summer,Green Gram,Black,7.18,38.5,22.0,0.66
Cuddalore,Summer,Black Gram,Alluvial,9.16,78.7,20.7,0.66
Kancheepuram,Rabi,Millets,Clay,4.66,90.2,33.7,1.28
Dindigul,Summer,Sugarcane,Black,8.94,68.9,22.7,4.93
Kancheepuram,Kharif,Groundnut,Black,2.2,135.0,23.3,1.48
Villupuram,Kharif,Cotton,Loamy,8.32,135.6,23.5,1.34
Tirunelveli,Kharif,Sunflower,Alluvial,3.2,190.3,34.2,1.39
Madurai,Summer,Sugarcane,Black,5.71,39.2,32.8,5.85
